suite,run_dir,scenario,comparison,condition_a,condition_b,metric,n_pairs,wilcoxon_stat,p_value,rank_biserial_corr,mean_diff_a_minus_b,median_diff_a_minus_b,method,p_value_holm,significant_0p05_holm
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p2_b0p05_g0_vs_baseline,noise_a0p2_b0p05_g0,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0007338294557809848,0.0007413481322853851,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p2_b0p05_g0_vs_baseline,noise_a0p2_b0p05_g0,baseline,final_step_rmse,50.0,241.0,6.825250486741652e-05,0.6219607843137255,0.0008094448316842318,0.0006862124428153038,scipy,0.0010237875730112478,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p2_b0p1_g0_vs_baseline,noise_a0p2_b0p1_g0,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0009561854499586376,0.0009694566006945024,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p2_b0p1_g0_vs_baseline,noise_a0p2_b0p1_g0,baseline,final_step_rmse,50.0,192.0,5.367254770405339e-06,0.6988235294117647,0.0009972388314781712,0.001026855781674385,scipy,0.00011271235017851211,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p2_b0p1_g0p6_vs_baseline,noise_a0p2_b0p1_g0p6,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.000930461968951834,0.0009322863067269278,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,no_collision,noise_a0p2_b0p1_g0p6_vs_baseline,noise_a0p2_b0p1_g0p6,baseline,final_step_rmse,50.0,252.0,0.00011374680137699045,0.6047058823529412,0.0009897682908922435,0.0009078845614567399,scipy,0.0015924552192778663,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,with_collision,noise_a0p02_b0p1_g0_vs_baseline,noise_a0p02_b0p1_g0,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,-1.0,-0.11437587305973494,-0.016907719552360867,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,with_collision,noise_a0p02_b0p1_g0_vs_baseline,noise_a0p02_b0p1_g0,baseline,final_step_rmse,50.0,189.0,4.521505763577238e-06,-0.7035294117647058,-0.045303033042000604,-0.007582241669297218,scipy,0.00010399463256227648,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,with_collision,noise_a0p02_b0p1_g0_vs_baseline,noise_a0p02_b0p1_g0,baseline,collision_peak_rmse_mean,50.0,0.0,1.7763568394002505e-15,-1.0,-0.16064292293719207,-0.03767841221577459,scipy,1.7053025658242404e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,with_collision,noise_a0p02_b0p1_g0_vs_baseline,noise_a0p02_b0p1_g0,baseline,collision_recovery_time_mean_steps,50.0,2.0,5.329070518200751e-15,-0.9968627450980392,-15.180715775129169,-15.422943917679317,scipy,2.0250467969162855e-13,true
sensitivity,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/sensitivity/aggressive_suite_20260227_182049,with_collision,noise_a0p05_b0p1_g0_vs_baseline,noise_a0p05_b0p1_g0,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,-1.0,-0.11490639005434967,-0.017691700826106077,scipy,1.7053025658242404e-13,true
